Scan,HV_top,Efficiency,Eff_Error
STDMX_1,6300.0,0.0024924257122815397,0.0015543954813025474
STDMX_1,6500.0,0.01804798641092788,0.004166262590618258
STDMX_1,6700.0,0.20228941198152908,0.012627547126207887
STDMX_1,6900.0,0.628234242567543,0.015305513885493215
STDMX_1,7100.0,0.8207473216618761,0.011945607232371256
STDMX_1,7200.0,0.8613443192576178,0.010950338927666663
STDMX_1,7300.0,0.9051126092487395,0.009239672318882106
STDMX_1,7400.0,0.8816178614570751,0.01024169269030966
STDMX_1,7500.0,0.887173634470607,0.009834209087547641
STDMX_1,7600.0,0.8993808211715156,0.009565640381879074
30CO2_1,6100.0,0.0,0.0
30CO2_1,6300.0,0.013124069814639427,0.003484041621827168
30CO2_1,6500.0,0.18276713960687047,0.011864905294612973
30CO2_1,6700.0,0.5747166061687587,0.015464669308857261
30CO2_1,6900.0,0.7933327926028064,0.012665957918916212
30CO2_1,7000.0,0.8539351650987939,0.011085422856520696
30CO2_1,7100.0,0.8868289637952559,0.010038247777518746
30CO2_1,7200.0,0.8893932096693374,0.009610876480644619
30CO2_1,7300.0,0.8942424908571315,0.009549791275557603
30CO2_1,7400.0,0.8883091625801189,0.010005850672756226
30CO205SF6_1,5800.0,0.0012233770987660267,0.0010736467776027792
30CO205SF6_1,6000.0,0.00396999139097282,0.0019480367003523805
30CO205SF6_1,6200.0,0.04478423377505947,0.006337799723370797
30CO205SF6_1,6400.0,0.2608503010895616,0.01368844722655905
30CO205SF6_1,6600.0,0.6984068595704996,0.014513260077438564
30CO205SF6_1,6750.0,0.8067510108503468,0.011943133684933162
30CO205SF6_1,6900.0,0.8801253538212698,0.010145512783552336
30CO205SF6_1,7150.0,0.895981882477813,0.009722224636140935
30CO205SF6_1,7300.0,0.8913418545249185,0.009841318656409694
40CO2_1,5800.0,0.00036094478533674174,0.000418005470612324
40CO2_1,6000.0,0.0009432071976972059,0.0006708266429202704
40CO2_1,6200.0,0.01379479498310477,0.0025056004288831852
40CO2_1,6400.0,0.18387614862785362,0.00865566141810914
40CO2_1,6600.0,0.5773995459186007,0.010936745722822834
40CO2_1,6750.0,0.7758415431598199,0.009095942860998343
40CO2_1,6900.0,0.8724325613838563,0.007463423899714989
40CO2_1,7150.0,0.9027285068705015,0.006671259390244786
40CO2_1,7300.0,0.9173169172941827,0.006081142793852156
40CO2_1,7400.0,0.9226755394773081,0.00584544671375228
